"Group Name","Patch Count","Upstream","Intel"
"Google Patches",16,5,11
"VPG Patches",1228,323,905
"Documentation",13,12,1
"acpi",41,0,41
"arch/arm",124,124,0
"arch/arm/boot",4,3,1
"arch/arm/boot/compressed",1,1,0
"arch/x86",36,2,34
"arch/x86/configs",34,0,34
"arch/x86/kernel/acpi",1,0,1
"arch/x86/kernel/cpu",3,1,2
"arch/x86/pci",1,0,1
"block",1,1,0
"driver/platform/x86",14,0,14
"drivers/acpi/pmic_opregion",9,0,9
"drivers/base",3,2,1
"drivers/base/regmap",2,2,0
"drivers/bluetooth",2,0,2
"drivers/char",4,4,0
"drivers/cpufreq",176,112,64
"drivers/cpuidle",1,0,1
"drivers/dma",2,0,2
"drivers/dma/dw",7,0,7
"drivers/external_drivers/camera/drivers/media/pci/atomisp2/css",509,0,509
"drivers/gpio",15,9,6
"drivers/gpu/drm/i915",195,25,170
"drivers/hid/i2c-hid",2,2,0
"drivers/hwmon",9,0,9
"drivers/i2c",3,0,3
"drivers/idle",7,0,7
"drivers/iio",7,2,5
"drivers/iio/common/hid-sensors",3,3,0
"drivers/iio/gyro",6,0,6
"drivers/iio/imu/inv_mpu6050",21,1,20
"drivers/iio/light",55,19,36
"drivers/iio/magnetometer",28,0,28
"drivers/iio/trigger",5,1,4
"drivers/input",8,7,1
"drivers/input/keyboard",8,0,8
"drivers/input/misc",37,24,13
"drivers/input/touchscreen",70,0,70
"drivers/md",30,26,4
"drivers/media/i2c/atomisp",24,0,24
"drivers/media/usb/uvc",6,1,5
"drivers/media/v4l2-core",4,1,3
"drivers/misc",36,10,26
"drivers/misc/bt_lpm",8,4,4
"drivers/misc/dgnss",2,0,2
"drivers/misc/intel-ish",27,7,20
"drivers/misc/intel_ld",10,0,10
"drivers/misc/mei",61,55,6
"drivers/mmc/core",105,37,68
"drivers/mtd/nand",1,1,0
"drivers/net",1,1,0
"drivers/net/ppp",6,5,1
"drivers/net/usb",7,1,6
"drivers/net/wireless/bcmdhd",163,107,56
"drivers/of",2,2,0
"drivers/pci",12,0,12
"drivers/pinctrl",20,0,20
"drivers/pnp",1,0,1
"drivers/pnp/pnpacpi",1,0,1
"drivers/power",254,51,203
"drivers/powercap",4,0,4
"drivers/regulator",18,13,5
"drivers/rtc",2,2,0
"drivers/spi",5,2,3
"drivers/staging/android",17,10,7
"drivers/staging/android/ion",9,8,1
"drivers/staging/android/trace",1,1,0
"drivers/staging/android/uapi",7,7,0
"drivers/switch",56,56,0
"drivers/thermal",23,1,22
"drivers/tty",19,3,16
"drivers/tty/serial/8250",3,0,3
"drivers/tty/serial/hsu",16,1,15
"drivers/usb/class",4,1,3
"drivers/usb/dwc3",374,197,177
"drivers/usb/host",46,5,41
"drivers/usb/typec/pd",151,0,151
"drivers/video/adf",26,26,0
"drivers/w1/masters",1,1,0
"drivers/watchdog",4,1,3
"extcon",47,20,27
"fs/ext4",2,2,0
"fs/fuse",2,2,0
"fs/proc",6,4,2
"fs/pstore",19,9,10
"fs/sdcardfs",22,21,1
"include",18,13,5
"include/linux",34,11,23
"include/linux/mmc",1,1,0
"init",3,2,1
"intel-mid",65,0,65
"ipc",1,1,0
"kernel",27,23,4
"kernel/debug",1,1,0
"kernel/debug/kdb",1,1,0
"kernel/trace",4,3,1
"lib",8,4,4
"mfd",129,78,51
"mm",13,9,4
"net/bridge",1,1,0
"net/netfilter",55,51,4
"net/rfkill",18,1,17
"scripts",1,1,0
"security/selinux",36,36,0
"sound",1,0,1
"sound/drivers/intel_hdmi",6,0,6
"sound/soc/codecs",423,193,230
"tools/perf/util",1,1,0
"trace",5,3,2
"uapi-linux",4,2,2
